tic_id,spectype,Teff,R,M,met,L
TIC 203189770,A8 V,7598.0,1.638,30.462263434342628,-4.945,27.487691929104805
TIC 203214081,M2.5 V,3348.0,0.3073,29.76090390825963,-4.5,24.611951929104805
TIC 20375215,K5 V,4799.0,0.66,30.13735500109793,-4.76,25.901031929104807
TIC 207110080,F V,6466.0,1.496,30.428517860032578,-4.544,27.129511929104805
TIC 207141131,K2 V,5145.0,0.767,30.234516706075883,-4.54,26.153511929104805
TIC 209459275,G V,5925.0,1.233,30.309653271136472,-4.609,26.810341929104805
TIC 211080657,G1 V,5972.0,2.29,30.438384996761908,-4.51,27.360401929104807
TIC 211439561,F7 V,6317.0,1.93,30.474597169416356,-4.17,27.312971929104805
TIC 212957629,M4 V,3100.0,0.204,29.508020924903303,-4.92,27.114451929104806
TIC 218795833,M V,3322.0,0.35,29.82355071739752,-4.2700000000000005,24.732191929104808
TIC 220323515,G0 VI,5970.0,0.79,30.33192966584762,-4.54,26.428071929104807
TIC 22221375,G1 V,5863.0,1.053,30.3066800943671,-4.522,26.654851929104804
TIC 22233480,M3.5 V,3422.0,0.372,29.864353729034192,-4.73,24.814951929104804
TIC 224289449,M0.0 V,3933.0,0.57,30.0604337487812,-4.57,25.429311929104806
TIC 22529346,F6 V,6459.0,1.458,30.429803706958296,-4.41,27.101481929104807
TIC 22598327,G0 V,6012.0,1.52,30.409095620659922,-4.17,27.012971929104808
TIC 227642705,M1.0 V,3913.0,0.56,30.06193390392361,-4.46,25.376971929104805
TIC 228217280,G8 V,5440.0,1.01,30.28077714340024,-4.34,26.492971929104804
TIC 229137615,F9 V,6218.0,1.1,30.343828889147332,-4.54,26.731971929104805
TIC 229650439,K0 V,5230.0,0.82,30.241010016528755,-4.51,26.236181929104806
TIC 229791084,F7 V,6124.0,1.254,30.36146374444518,-4.524,26.882481929104806
TIC 230073581,M0.0 V,4090.0,0.57,30.06193390392361,-4.38,25.486061929104807
TIC 230183006,K2 V,5008.0,0.95,30.23300436160424,-4.44,26.262971929104808
TIC 230241767,M1.0 V,3654.0,0.427,29.927915509463393,-4.76,25.060091929104807
TIC 232608943,K V,5170.0,0.81,30.247895917005586,-4.38,26.206221929104807
TIC 234523599,M3 V,3405.0,0.4783,29.985231531435215,-4.37,25.023091929104805
TIC 234994474,M0.5 V,3842.0,0.604,30.08667428150184,-4.57,25.442111929104804
TIC 235678745,M0.5-1.0 V,3662.0,0.453,29.965958863250627,-4.99,25.105411929104807
TIC 236445129,F7 V,6236.0,1.36,30.381650053503726,-4.542,26.984371929104807
TIC 237933846,F8 V,6160.0,1.18,30.335932408301296,-4.65,26.859431929104804
