source_id,M,met,L,evolstage_flame,Teff,R,spectype
6030020936969558016,30.189019591122587,-6.9832,25.86197149964289,169,4786.0205,0.4085,B
6030050039664208256,30.3424979890868,-5.8193,26.654440828996872,116,6014.7056,1.0076,F
6030078867485304448,30.236999942355915,-4.8393,26.28741751144176,272,5259.5947,0.7015,K
6030078867485349248,30.287876635622624,-4.6856,26.510017440584843,238,5714.284,1.1083,F
6030078867493166592,30.227990200139413,-5.7364,26.280551792644545,314,5275.734,0.595,G
6030078871887370496,30.298150142644083,-4.9252,26.38275998484932,117,5638.737,0.8347,G
6030050074023970304,30.2272308924959,-5.3781,26.326836901760572,316,5266.7344,0.6304,G
6030021040048783744,30.24713075819562,-4.8523,26.35615755020771,272,5312.686,0.7822,F
6030021040049473664,30.213172181896528,-6.1425,26.159622324790067,235,5075.462,0.5217,A
6030050078392916224,30.45940743955324,-5.3271,27.355584632995004,249,6638.8306,1.5923,F
6030020907021015424,30.223723963314036,-4.5836,26.466623542847323,359,4985.507,0.861,K
6030050108383711104,30.236324164071906,-5.2489,26.435713640484142,343,5383.1436,0.6746,F
6030021044469104896,30.27454754090829,-5.3725,26.64195909872147,359,5679.0513,0.6661,F
6030021074412001920,30.247595320256853,-4.6885,26.578598499142462,360,5223.6055,0.8997,F
6030021074414414848,30.20335358977881,-6.0914,26.119237793486736,269,4901.2427,0.491,G
6030078936212642048,30.195928301763033,-4.9573,25.931834784336424,139,4873.96,0.6373,K
6030021108768946176,30.18870860917995,-5.8374,25.976188248115477,184,4852.913,0.5067,K
6030021108774149248,30.193777565348963,-6.073,26.128076389402036,302,4878.259,0.491,F
6030078974939636736,30.240309176280764,-5.1542,26.27400117007031,231,5288.127,0.6559,K
6030021177487756032,30.244706830873472,-5.9187,26.51281582623415,357,5425.793,0.6044,F
6030021177487767168,30.415276982108086,-4.8791,27.177951540398663,276,6367.828,1.6063,F
6030021177493625216,30.1535818595832,-5.677,25.93922553029091,303,4521.9565,0.8407,K
6030050215831896448,30.236415443610188,-6.0909,26.310589059046833,299,5289.9854,0.5548,B
6030050215831898112,30.149724559079523,-4.7896,25.876785672509694,334,4434.5093,0.8221,K
6030050245826978432,30.243184444631005,-6.0506,26.515049980872604,356,5409.221,0.5886,F
6030050245853110400,30.200149571102788,-5.0765,26.086489111136004,252,4943.718,0.6274,K
6030079073643911552,30.33688000836707,-5.3445,26.743232297148754,247,6053.526,0.9651,F
6030021246207256448,30.20061926608254,-5.3301,26.16597135811804,355,5020.2495,0.6044,K
6030050280182420736,30.268472654453852,-5.7409,26.267967867918923,160,5677.0815,0.6459,F
6030079112378171776,30.252637419248394,-5.5835,26.40538266157846,296,5480.9893,0.6426,G
6030079142367049088,30.12324271239751,-4.893,25.687419569722586,179,4250.947,0.5701,K
6030050318911153536,30.16625839514934,-5.2963,25.91167994294176,251,4597.395,0.8154,K
6030050353270903552,30.247301942685006,-5.5164,26.578122197978693,359,5122.4463,1.219,K
6030021319337957120,30.234662922451772,-5.9499,26.461439336731534,350,5275.0215,0.5731,G
6030079181038079232,30.13104211889463,-5.7176,25.680661131362445,135,4329.9434,0.6714,K
6030079108003346816,30.225441479000214,-5.1656,26.454216509656312,355,4694.794,1.286,K
6030050387630627584,30.246902638699698,-5.0908,26.24758808123213,159,5367.383,0.695,F
6030050387631309440,30.18267786647695,-5.1581,25.90529616565856,136,4706.1274,0.8244,K
6030079211082663424,30.490599367340565,-5.4559,27.410811594577865,167,7391.587,1.623,F
