tic_id,gaia_id,spectype,M,L,Teff,R,met
TIC 7059054,662078902422542336,K,30.14976425907975,25.845532804182348,4612.158,0.6922,-4.5
TIC 70899085,3189306030970782208,M,30.069357922002816,25.45483694196359,3577.9766,0.719,-4.13
TIC 71528173,2033246455795280896,G,30.311343135065844,26.58692633192844,5493.753,1.1096,-4.37
TIC 72506701,1244571953471006720,F,30.445630747900218,27.085877603458535,6319.2407,1.484,-4.2678
TIC 73228647,6133384959942131968,G,30.29720106867233,26.5424460113644,5651.403,0.9929,-4.4
TIC 741119,3616517223789495424,K,30.263707611386586,25.990692773255862,4808.8545,0.6316,-4.746
TIC 7422496,4799563663371481344,G,30.27163376396037,26.46826968046351,5691.292,0.9006,-4.8100000000000005
TIC 75266189,6839540362940861568,G,30.291491208211735,26.41090631361888,5597.1045,0.8157,-4.76
TIC 77031414,2323985539482908416,G,30.319695209430613,26.630393965434898,5674.458,1.0799,-4.38
TIC 771548,3616620814104819328,F,30.29414110495822,26.613424735584953,5748.82,1.0379,-4.72
TIC 77287067,4816462091938129408,F,30.302827284143316,26.888882532487706,6055.7495,1.261,-4.8
TIC 79748331,6683371847364921088,K,30.172407508225135,25.946573695013342,4608.6196,0.7515,-4.49
TIC 80224448,3380479015342121600,F,30.3398985955189,26.752113548285283,5934.8613,1.1544,-4.52
TIC 82308728,3997075206232885888,K,30.185995491338574,26.1435219883703,5053.029,0.7872,-4.7684
TIC 8260536,750888548244441344,G,30.357690527992045,26.686108577999484,5872.8403,1.0853,-4.45
TIC 83092282,5516690878153930240,F,30.416770636450153,27.06079712552544,6346.4976,1.4345,-4.45
TIC 8516795,4535299582687857920,F,30.45079425474373,27.23681073064433,6117.173,1.8686,-4.417
TIC 8599009,4524517290642206336,G,30.322169828558465,26.59212265794033,5541.764,1.0881,-4.29
TIC 86130229,632634358985725184,G,30.28973198605317,26.522854744617664,5744.1445,0.9145,-4.59
TIC 87989721,6724520279784564864,G,30.20699092923932,26.167433140630735,5021.1343,0.8194,-4.63
TIC 88529975,1101653957463314688,F,30.375510237154025,26.993643080389646,6159.339,1.4464,-4.553
TIC 89020549,6520880040423258240,G,30.28527764462692,26.37304452983004,5331.2295,0.8948,-4.38
