st_mass,st_met,st_lum
-0.045757490560675115,-0.11,-0.14
-0.1549019599857432,-0.17,-1.04576
-0.03151705144606486,0.01,-0.08502
-0.2898826348881837,0.0,-1.3536
-0.27810698378504256,-0.02,-1.2909
0.20951501454263097,-0.12,0.97772
-0.17392519729917355,-0.2,-0.62525
0.08278537031645007,-0.02,0.544
-0.22548303427145044,0.11,-1.3098
0.019946681678842306,0.1,0.301
-0.23657200643706275,-0.1,-1.27572
-0.579384229374235,0.15,-2.08831
-0.01322826573375516,-0.06,-0.01412
0.04139268515822508,0.11,0.06819
-0.8477116556169435,-0.18,-2.65857
-0.42596873227228116,-0.32,-1.663
-0.047691990337874794,0.103,-0.31785
-0.18708664335714442,0.6,-0.84527
0.1673173347481761,0.0,0.5832
0.0,0.03,0.26
-0.9100948885606021,-0.07,-2.8041
-0.1938200260161128,0.0,-1.06048
-0.004364805402450088,0.12,-0.04818
-0.3142582613977364,0.041,-1.48678
-0.9281179926938746,-0.028,-2.84134
-0.4473317838878068,0.3,-1.796
-0.28399665636520083,0.099,-1.43533
-0.02502800570193105,-0.105,0.03383
-0.0510982390297863,-0.31,0.23198
-0.2740883677049518,-0.22,-1.35655
-0.46344155742846993,-0.08,-1.91542
-0.5686362358410126,0.0,-2.06198
-0.10237290870955855,0.02,-0.56864
-0.05060999335508721,-0.21,1.057
-0.040958607678906384,-0.48,0.43
-0.1549019599857432,-0.05,-0.7167
-0.3655227298392684,-0.195,-1.5376
-0.7495799976911061,0.29,-2.33724
-0.09151498112135022,-0.14,-0.438
-0.05948351506743278,0.23,-0.41
-0.7495799976911061,-0.04,-2.4389
0.07918124604762482,0.22,0.51587
-0.3925449767853314,-0.17,-1.62986
0.012837224705172217,0.04,0.05308
-0.1366771398795441,0.09,0.19
-0.6172627342386696,-0.32,-2.13787
-0.0660068361687577,-0.02,-0.28483
0.146128035678238,0.21,0.662
0.021189299069938092,0.14,-0.11
-0.1549019599857432,0.15,-0.38722
-0.06348625752110672,0.0,-0.42713
-0.18442225167573273,0.09,-1.06048
0.029383777685209667,-0.24,0.29003
0.0,0.16,0.13
0.04139268515822508,0.28,0.25527
-0.4814860601221125,-0.21,-1.93
-0.1549019599857432,-0.14,-1.022
-0.44369749923271273,-0.03,-1.77211
0.24551266781414982,-0.29,1.1038
-0.7594507517174003,-0.24,-2.38722
0.04960561259497315,0.28,0.15534
-0.22914798835785583,0.41,-1.12494
-0.07727454200674003,0.11,-0.43227
0.05346260492545529,0.3,0.09342
-0.13076828026902382,-0.03,-0.678
0.1553360374650618,0.22,0.69723
-0.1284270644541213,0.12,-0.7167
-0.01322826573375516,-0.1,0.17319
0.004321373782642578,-0.26,0.2833
-0.9208187539523752,-0.08,-2.76955
-0.5228787452803376,-0.25,-1.92082
-0.07058107428570728,-0.23,-0.45469
0.11826472608947933,0.09,0.47407
-0.25181197299379954,-0.13,-1.3098
-0.01322826573375516,0.16,-0.22185
-0.18708664335714442,0.24,-0.92445
-0.266000713461613,0.08,-1.31876
-0.05551732784983137,0.05,-0.06
0.01703333929878037,0.0,0.093
-0.7342390832823894,-0.15,-2.42022
0.08278537031645007,0.05,0.47
-0.11350927482751812,-0.04,-0.73755
