source_id,mass_flame,mh_gspphot,lum_flame,evolstage_flame,teff_gspphot,radius_gspphot,spectraltype_esphs
5961495214800030976,1.7907548,0.2315,12.2690525,165,8241.424,1.6696,K
5253593207511586304,1.1424887,-0.8413,2.2591517,322,6063.3174,0.9075,F
5961408357742266496,0.9336238,-0.4058,0.6885689,212,5622.7837,2.3317,F
5253641074964536576,1.3533278,-0.312,4.711574,321,6122.014,1.6572,F
6030082509617691648,0.7626704,-1.4144,0.1956984,111,4736.5957,0.6626,F
5253640937490294272,0.71511734,-0.4546,0.2106276,326,4458.4336,0.796,K
5253739309414920576,0.73170024,-1.184,0.23679622,315,4561.1797,0.4763,M
6030082509617758464,0.70290554,-0.9656,0.21676792,355,4406.4395,0.4904,K
5253739309450146944,1.3884667,-0.5735,3.8292723,139,6848.8296,1.2081,F
5253739343774732416,0.8428238,0.1089,0.4379561,246,5165.4688,0.8376,K
6030109177158396416,0.82754886,-0.9611,0.55337435,340,4812.137,1.0391,K
6030109207140492928,0.7753277,-1.9198,0.20002306,123,4745.0435,0.6516,K
5961447626558627584,2.423979,-0.4687,50.558094,242,8714.6875,4.4863,B
5253739343809917184,0.95413345,-1.0948,1.1648256,340,5706.096,0.6951,F
6030054682598336128,2.4278922,-0.3367,45.684315,206,9855.098,1.8238,A
5253641109324215168,1.1046509,-0.2937,1.9901001,334,6021.419,1.2968,F
5253641109324218240,1.2582643,-0.0274,2.7406433,191,6403.0684,1.2939,F
5253641109324224512,1.0507371,-0.8382,1.6716688,337,5961.9653,1.1839,F
5253641109324225664,1.597542,-0.4286,7.609089,168,7519.9834,1.4819,A
5253739378169670912,1.3682308,-0.4152,4.3745933,220,6660.2954,1.6591,F
5253739378169671168,1.1333904,-0.5094,2.4148,349,5989.7354,1.321,F
5253641109324231552,0.9724255,-0.2065,1.1516114,327,5768.655,1.0481,G
5961408422098043648,1.968092,0.4027,22.65839,267,7411.0376,2.5906,B
5961408422098052864,0.9318638,0.5356,1.3275481,359,4822.753,1.6621,K
6030054712596969472,0.739426,-1.1106,0.2070723,221,4753.0425,0.5192,G
5961447660918353664,1.5080736,0.0146,6.3646894,204,6944.904,1.8277,F
5961447660918398592,1.4722904,-1.5182,3.70141,119,5060.31,0.9949,F
5961408426412815744,0.9620112,-0.1743,0.8400968,359,4950.1836,0.6663,K
5961495283523435904,1.8933091,-0.7779,19.241537,268,7455.5786,2.0416,F
5253641143683977344,0.86385834,-0.7005,0.72920066,350,5430.9634,0.6581,G
5253739412539069056,0.86073995,-0.1714,0.36355767,119,5123.7964,0.7269,K
5961408456457783936,0.70356846,0.1207,0.14658268,151,4406.8677,0.7758,K
5253593280564090496,2.4336107,0.0214,42.74098,181,10126.41,2.0595,B
6030054746948661888,0.7287119,-1.2954,0.1992375,197,4573.3174,0.4621,K
6030054746948683008,0.8601843,-0.9412,0.5688874,333,5328.9414,0.6273,G
5961447665285620736,0.92128265,-0.901,0.77524614,293,5609.618,0.6859,F
5961447665285621632,0.8530396,0.0799,0.63920593,354,5157.4414,0.9686,G
5253739446889149440,1.1013488,-0.8768,1.232117,149,6004.986,1.0284,G
5253641208065896960,1.2160913,-0.6315,2.3147233,201,6359.157,0.9552,F
5961447695278203264,0.7182653,0.1265,0.19169034,283,4492.1514,0.742,K
5961408460772686080,0.7497385,-0.492,0.24275619,357,4604.892,0.7027,M
5961447729637933952,0.8910021,-1.3991,0.73445845,360,4941.2974,0.5136,A
6030109241500288640,0.779363,-1.3722,0.28176108,252,4810.222,0.8877,G
6030054751317877632,0.7227025,-0.47,0.16627017,139,4499.536,0.8537,K
5961408490817546240,1.4838994,-0.0003,6.1630483,216,6915.206,1.8238,K
5253593349283550976,1.8046515,-0.8324,15.089663,245,7440.8667,1.5456,F
5253593349283562880,1.5243816,-0.3545,6.30171,171,7267.481,1.7526,F
5253593349283641728,3.0752375,-0.6376,98.78851,153,12094.84,2.4378,B
5253739511300985728,2.802318,-0.4902,85.78686,227,10579.104,3.4241,B
5253739515608573440,0.8867505,-0.5415,0.8265179,359,5387.368,0.9737,G
5253739515608577024,0.8958097,-1.0147,0.84794295,339,5549.1772,0.6635,F
5253739515608578816,1.0638617,-0.4677,1.76368,344,5923.0786,1.1085,F
6030082543977460352,0.8317265,-2.0426,0.66419536,354,5248.164,0.9614,G
